0	Seton Hall	The night following their departure the Hall of Youth burned to the ground. #SetonHall
234	Prince Philip	Why then does any man say such a thing as this, that we must not all the time be gaining something more! "Do you not recall,
234	Prince Philip	partly from hearsay and partly from observation, that none of the Italian races refrained from plotting against our country
234	Prince Philip	until our ancestors brought war into their territories, nor did the Epirots until they crossed over into Greece? Philip did
234	Prince Philip	not refrain, but intended to make a campaign against Italy until they wrought harm to his land in advance. #PrincePhilip
235	Prince Philip	The victories Nero won were such as befitted that sort of army, and he overcame Terpnus and Diodorus and Pammenes, instead of Philip or Perseus or Antiochus. #PrincePhilip
236	Prince Philip	The Ætolians, who at that period possessed great power, and Philip  The son of Cassander, who ruled only four months in B. C. the Macedonian, and the chief men in Illyricum did his bidding. #PrincePhilip
237	Prince Philip	Philip although in Demetrias was unable to check their encroachments speedily because the Ætolians had seized the passes in advance. #PrincePhilip
238	Prince Philip	Marcus lacuna sent to Philip by the generals lacuna from them either lacuna was successful; embassy lacuna of Philip and
238	Prince Philip	lacuna and some lacuna which he himself lacuna had sent to the Carthaginians lacuna not at all peace lacuna having vanquished lacuna enemies by the lacuna rendered them of no less importance in reputation. #PrincePhilip
239	Prince Philip	LVIII  Philip after his defeat sent heralds to Flamininus. #PrincePhilip
240	Prince Philip	The cause lay in the fear that, if Philip were out of the way, the Greeks might recover their ancient spirit and no longer pay
240	Prince Philip	them court, that the Ætolians, already filled with great boasting because they had contributed the largest share to the
240	Prince Philip	victory, might become more vexatious to them, and that Antiochus might, as was reported, come to Europe and form an alliance with Philip. #PrincePhilip
241	Prince Philip	LXVII   The Rhodians, who formerly had possessed a vast amount of selfesteem, thinking that they, too, ranked as conquerors of
241	Prince Philip	Philip and Antiochus, and were stronger than the Romans, fell into such depths of terror as to despatch an ambassador to
241	Prince Philip	Antiochus, king of Syria, and summon Popilius, in whose presence they condemned all those opposed to the Roman policy and then sent such as were arrested to punishment. #PrincePhilip
242	Chevrolet Good Deeds Cup 2019	Who ought to err less than he who is the strongest? Who should use the gifts of Heaven more sensibly than he who has received
242	Chevrolet Good Deeds Cup 2019	the greatest from that source? Who ought to handle present blessings more uprightly than he who has the most of them and is
242	Chevrolet Good Deeds Cup 2019	most afraid of their being lost? Good fortune, joined with temperance, continues and authority, if it maintains moderation, preserves all that has been gained. #ChevroletGoodDeedsCup2019
243	Chevrolet Good Deeds Cup 2019	The reason given for that action was that a temple of Good Fortune might be built there, which Lepidus, indeed, while master
243	Chevrolet Good Deeds Cup 2019	of the horse had completed but the real intention was that the name of Sulla should not be preserved in it and that another
243	Chevrolet Good Deeds Cup 2019	senatehouse, newly constructed, might be named the Julian, just as they had called the month in which he was born July, and one of the tribes selected by lot the Julian. #ChevroletGoodDeedsCup2019
244	My Health Record	My husband both lives and shall be seen by you shortly. #MyHealthRecord
245	My Health Record	My body is a Carthaginian chattel, but my spirit is yours. #MyHealthRecord
246	My Health Record	My soul shall after thee know no other lord for my body, if Scipio require it, let him take it with life extinct. #MyHealthRecord
247	My Health Record	My purpose is that you yourselves may as a result of my words show a more ardent zeal for your country and teach them all they should know. #MyHealthRecord
248	My Health Record	﻿My record has so far stated what the Romans both did and endured for seven hundred and twentyfive years under the monarchy, as a democracy, and beneath the rule of a few. #MyHealthRecord
249	My Health Record	My helpers have been made devoted by a recompense of benefits and steadfast by a participation in the government therefore
249	My Health Record	they do not desire any political innovations, and if anything of the sort should take place, the men to assist me are even more ready for it than the instigators of rebellion. #MyHealthRecord
250	My Health Record	My military is in prime condition, we have goodwill, strength, money, and allies, and chiefest of all you and the people are so disposed toward me that you would be quite willing to have me at your head. #MyHealthRecord
251	My Health Record	My father Apronianus, who was governor of Cilicia, had ascertained accurately the whole story about him. #MyHealthRecord
252	My Health Record	Woe for the bloodbespattered locks of gray, alas for the rent robe, which you assumed, it seems, only to the end that you
252	My Health Record	might be slain in it!"At this deliverance of Antony's the throng was at first excited, then enraged, and finally so inflamed
252	My Health Record	with passion that they sought his murderers and reproached the senators besides, because the former had killed and the latter
252	My Health Record	had beheld without protest the death of a man in whose behalf they had voted to offer yearly prayers, by whose Health and Fortune they took oaths, and whom they had made sacrosanct equally with the tribunes. #MyHealthRecord
253	Australia Day	Other points were that he undertook to be consul a second time, without having secured any office previously or the privileges
253	Australia Day	of any office, and that while consul in Nicomedea he did not employ the triumphal costume on the Day of Vows. #AustraliaDay
254	Ocean Alley	Some of the Celtae whom we call Germani had occupied all the Belgic territory near the Rhine and caused it to be called
254	Ocean Alley	Germania, the upper part extending to the sources of the river and the lower part reaching to the Ocean of Britain. #OceanAlley
255	John Howard	Compare John of Antioch, frag. #JohnHoward
256	John Howard	III. Of Dio or rather of Eutropius, or John of Antioch. #JohnHoward
257	John Howard	What is said of Romulus in John of Antioch, Frag. #JohnHoward
258	John Howard	Scholia on John Tzetzes's Letters in Cramer's Anecd. #JohnHoward
259	John Howard	Zonaras , The account of John of Antioch, frag. #JohnHoward
260	John Howard	John Tzetzes, Letters, , p. #JohnHoward
261	John Howard	and also Excerpts from a Florentine MS. of John of Antioch's Parallela. #JohnHoward
262	stop the govt	Nor did the terror stop here, but the slaughters which began at this point as if by a kind of signal occurred in the country district and all the cities of Italy. #stopthegovt
263	stop the govt	Why should one name individually Sardinia, Sicily, Macedonia, Illyricum, Greece, Ionic Asia, the Bithynians, Spaniards,
263	stop the govt	Africans? I tell you the Carthaginians would have given them plenty of money to stop sailing against that city, and so would
263	stop the govt	Philip and Perseus to stop making campaigns against them; Antiochus would have given much, his children and descendants would have given much to let them remain on European soil. #stopthegovt
264	stop the govt	He did not venture to come into close quarters with the enemy, though they were overrunning Roman territory, until they felt
264	stop the govt	contempt for him, thinking him afraid, and undertook to destroy the bridge and put a stop to the conveyance of grain, which the allies brought across it. #stopthegovt
265	stop the govt	Hence, when bidden to be silent he did not stop immediately, but had to be pushed and dragged from the assemblage, whereupon he came back, and at last though consigned to prison he did not moderate his behavior. #stopthegovt
266	stop the govt	Then the latter revealed himself, as if by this act he should stop the storm, and said, "Be of good cheer you carry Caesar. #stopthegovt
267	stop the govt	However, this did not stop the factional disputes. #stopthegovt
268	stop the govt	So at first he wished to persuade Pompey somehow to stop and change his course and receive the greatest pledges that he should again attain a fair and equal position with him; and he sent to him both privately and publicly. #stopthegovt
269	stop the govt	Consequently he disembarked the cavalry under the shadow of the Ceraunian mountains and sent them to the point mentioned,
269	stop the govt	while he himself with his ships seized Corcyra, deserted by the garrisons within it, and came to a stop in the socalled Sweet Harbor it is so named because it is made sweet by the river emptying into it. #stopthegovt
270	stop the govt	And in case they could use great quantities of it at once, they would stop the fire by main force but they were unable to do
270	stop the govt	this everywhere, for they did not have many buckets or large ones, and in their confusion brought them up half full, so that far from doing any service they only quickened the flame. #stopthegovt
271	stop the govt	Crassus meanwhile, during the night, advanced to a wood, and after stationing scouts in front of the forest made his army stop there. #stopthegovt
272	stop the govt	They have been most frequent in our epoch and there is no other way save the one I propose that will put a stop to them. #stopthegovt
273	stop the govt	The socalled tribunician authority which the men of very greatest attainment used to hold gives them the right to stop any
273	stop the govt	measure brought up by some one else, in case they do not join in approving it, and to be free from personal abuse. #stopthegovt
274	stop the govt	Hence do not stop to consider what acts of yours will please them and heed none of their talk. #stopthegovt
275	stop the govt	There was no safety even for such as left the country, but many of them, too, lost their lives either on the road or while in
275	stop the govt	banishment It is not worth while to burden my readers unduly by going into the details of most of these cases, but I may stop to notice Calvisius Sabinus, one of the foremost men in the senate. #stopthegovt
276	stop the govt	Why, then, should one stop to lament the misfortunes of other victims?  The following signs of dominion had been observed in his career. #stopthegovt
277	stop the govt	They took the following occasion to stop this method of procedure. #stopthegovt
278	stop the govt	Soon they would stop again, and then once more join in conflict. #stopthegovt
279	stop the govt	The Alexandrians had been rioting and nothing would make them stop until they received a letter from Hadrian rebuking them. #stopthegovt
280	stop the govt	The lieutenants in Britain had been rebuked for their turbulence indeed, they had not become quiet until Pertinax put a stop
280	stop the govt	to their discord, and now they chose of their number fifteen hundred javelinslingers, whom they sent into Italy. #stopthegovt
281	stop the govt	This as much as anything made it clear that the injury would not stop in the City but extend over the entire civilized world. #stopthegovt
282	stop the govt	Some did stop when they saw him in such an attitude, and turned back. #stopthegovt
283	stop the govt	With its charge it killed a horseman who, trusting to his own strength, attempted to run it down, and it was with difficulty
283	stop the govt	stopped and killed by many soldiers, thirty being the number required to stop it; the beast was then conveyed to Severus. #stopthegovt
284	stop the govt	it with the added ratification of Macrinus as a reward of his information against him; and he was subsequently made
284	stop the govt	superintendent of the distribution of dole which took place at the games given by the major prætors, save those celebrated in
284	stop the govt	honor of Flora lacuna moreover the iuridici possessing authority in Italy had to stop rendering decisions outside the traditional limits set by Marcus. #stopthegovt
285	stop the govt	Looking now at the one side and now at the other they cried "Why, fathers, do you do this? Why, husbands, do you do it? When
285	stop the govt	will you stop fighting? When will you stop hating each other? Make peace with your sonsinlaw! Make peace with your
285	stop the govt	fathersinlaw! For Pan's sake spare your children, for Quirinus's sake your grandchildren! Pity your daughters, pity your
285	stop the govt	wives! For if you refuse to make peace and some bolt of madness has fallen upon your heads to drive you to frenzy, then kill
285	stop the govt	at once us, the causes of your contention, and slay at once the little children whom you hate, that with no longer any name or
285	stop the govt	bond of kinship between you you may gain the greatest of evils to slay the grandsires of your children and the fathers of your grandchildren. #stopthegovt
286	Simon Bridges	Even under these conditions many captives were taken, among them Bargiora,  Properly Simon BarGiora patronymic. #SimonBridges
287	National Party	They entitled him Pythian Victor, Olympian Victor, National Victor, Absolute Victor, besides all the usual expressions, and of
287	National Party	course added to these names the honorific designations belonging to his imperial office, so that every one of them had "Caesar" and "Augustus" as a tag. #NationalParty
288	National Party	The city was all decked with garlands, was ablaze with lights and smoky with incense, and the whole population, the senators
288	National Party	themselves most of all, kept shouting aloud "Vah, Olympian Victor! Vah Pythian Victor! Augustus! Augustus! Hail to Nero the
288	National Party	Hercules, hail to Nero the Apollo!! The one National Victor, the only one from the beginning of time! Augustus! Augustus! O,
288	National Party	Divine Voice! Blessed are they that hear thee!" Why should I employ circumlocutions instead of letting you see their very
288	National Party	words? The actual expressions used do not disgrace my history no, the concealment of none of them rather lends it distinction. #NationalParty
289	National Party	He did the same also in the case of rival horses and charioteers, being greatly devoted to the party that wore the frog green and from this color was called the Party of the Leek. #NationalParty
290	one love	And on this subject Cato delivered a speech in which he made out that the law ought to prevail, and finally he added these
290	one love	words "Let the women, then, be adorned not with gold nor precious stones nor with any bright and transparent clothing, but
290	one love	with modesty, with love of husband, love of children, persuasion, moderation, with the established laws, with our arms, our victories, our trophies. #onelove
291	one love	But it was chiefly because a certain Publius Clodius whom some called Claudius under the influence of an innate love of revolution solidified the seditious element among them, though his sister was united in wedlock to Lucullus. #onelove
292	one love	In the end one Aulus Gabinius, a tribune, set forth his plan he was either prompted by Pompey or wished to do him some favor;
292	one love	certainly he was not impelled by any love of the common welfare, for he was the vilest of men his plan was that they should
292	one love	choose from among the exconsuls one general with full powers over all, who should command for three years and have the use of a huge force, with many lieutenants. #onelove
293	one love	But truly I am ridiculous to give you this advice, you who in so many great conflicts have exhibited both your bravery and your love for your country. #onelove
294	one love	These also Pharnaces quickly diverted from their purpose, inasmuch as they did not love Mithridates either, and after receiving the voluntary submission of the city, put to death his father, who had fled for refuge into the palace. #onelove
295	one love	You will get no help against those hostilely disposed from the men who seem to love you; this you probably know by experience. #onelove
296	one love	This was not through any fear he understood well enough that Caesar would have been very ready to spare him for the sake of
296	one love	that reputation for humaneness but it was because he was passionately in love with freedom, and would not brook defeat in aught at the hands of any man, and regarded pity emanating from Caesar as more hateful than death. #onelove
297	one love	Why should I put any one of you to death, who have done me no harm, when I destroyed none of my adversaries, even if with the
297	one love	utmost zeal they had taken part with various enemies against me, but I took pity on all those that had withstood me but once,
297	one love	saving many alive of those that fought on the opposing side a second time? How should I bear malice toward any, seeing that
297	one love	without reading or making excerpts I immediately burned all the documents that were found among the private papers both in
297	one love	Pompey's and in Scipio's tents? So then, let us, Conscript Fathers, boldly unite our interests, forgetting all past events as
297	one love	brought to pass simply by some supernatural Force, and beginning to love each the other without suspicion as though we were some new citizens. #onelove
298	one love	For they made sport of those of their own number appointed to the senate by him and all the other failings of which he was
298	one love	accused most of all they jested about his love for Cleopatra and his sojourn at the court of Nicomedes, ruler of Bithynia,
298	one love	inasmuch as he had once been at his court when a lad; indeed, they even declared that Caesar had enslaved the Gauls, but Nicomedes Caesar. #onelove
299	one love	But who should not admire your system of instruction? And what is it? You are ever jealous of your superiors, you always toady
299	one love	to the prominent man, you slander him who has attained distinction, you inform against the powerful and you hate equally all the excellent, and you pretend love only for those through whom you may do some mischief. #onelove
300	one love	He could make no headway, and further learned by actual experience that arms had no power to hold those injured friendly
300	one love	toward him, and that it was possible for all such as would not submit to perish by the use of weapons, but out of the question for any one to be forced to love a person whom he will not. #onelove
301	one love	Meanwhile he fell in love with Cleopatra, whom he had seen in Cilicia, and no longer gave a thought to honor but was a slave of the fair Egyptian and tarried to enjoy her love. #onelove
302	one love	Therefore he advised the king to subjugate Syria and the adjoining districts, while Caesar was detained in Italy and with Sextus, and Antony abandoned himself to love in Egypt. #onelove
303	one love	Ventidius easily reduced the rest of the places in Syria, whose attitude had depended on the outcome of the war, by sending
303	one love	the monarch's head about through the different cities; their doubtful allegiance had been due to their extreme love for
303	one love	Pacorus because of his justness and mildness, a love which had equaled that bestowed by them upon any previous sovereign. #onelove
304	one love	Octavius sent therefore Thyrsus, a freedman of his, to speak to her kindly in every way and to tell her further that it so happened that he was in love with her. #onelove
305	one love	By the influence of love she won dominion over the Egyptians, and hoped to attain a similar position over the Romans, but being disappointed of this she destroyed herself also. #onelove
306	one love	And when men neither have any love of simplicity in their souls nor are able to show moderation in regard to the blessings
306	one love	bestowed upon them, how could one expect that they would either rule well over others or behave themselves uprightly in
306	one love	trouble? Let us make our decision on the basis that we are in neither of the classes mentioned and do not desire to act in any way unreasonably, but will choose whatever course after deliberation appears to us best. #onelove
307	one love	But in proportion as you are able to carry out all your wishes, you must be anxious to wish only what is proper, make always a
307	one love	selfexamination, to see whether what you are doing is right or not, what conduct will cause people to love you, and what not, in order that you may perform the one set of acts and avoid the other. #onelove
308	one love	How can all fail to regard you and to love you as father and preserver, when they see you are orderly, leading a good life,
308	one love	good at warfare, but a man of peace when you are not wanton, do not defraud when you meet them on a footing of equality, and
308	one love	do not yourself grow rich while demanding money from others are not yourself given to luxury while imposing hardships upon
308	one love	others are not yourself unbridled while reproving others when, instead, your life in every way without exception is precisely
308	one love	like theirs? Be of good cheer, for you have in your own hands a great safeguard by never wronging another. #onelove
309	one love	Examining the merits of the situation I deem it most just for you to manage your own affairs examining the advantages, I
309	one love	regard it as most advantageous to myself to be free from trouble, from jealousy, from plots, and for you to conduct a free
309	one love	government with moderation and love examining where the glory lies for the sake of which men often choose to enter war and
309	one love	danger, will it not add most to my reputation to resign so great a dominion? Will it not be most glorious to leave so exalted
309	one love	a sovereignty and voluntarily become a plain citizen? So if any one of you doubts that any one else could show true moderation in this and bring himself to speak out, let him at all events believe me. #onelove
310	one love	For, though I could recite many great benefits which have been conferred upon you by me and by my father for which you would
310	one love	naturally love and honor us above all the rest, I could say nothing greater and I should take pride in nothing else more than
310	one love	this, that he would not accept the monarchy which you strove to give him, and that I, holding it, lay it aside. #onelove
311	one love	Who could be found more magnanimous than I not to mention again my father deceased or whose conduct more godlike? With so many
311	one love	fine soldiers at my back and citizens and allies O Jupiter and Hercules!, that love me, supreme over the entire sea within the
311	one love	Pillars of Hercules except a very few tribes, possessing both cities and provinces on all the continents, at a time when there
311	one love	is no longer any foreign enemy opposing me and there is no disturbance at home, but you all are at peace, harmonious and
311	one love	strong, and greatest of all are willingly obedient, under such conditions I voluntarily, of my own motion, resign so great a dominion and alienate so vast a property. #onelove
312	one love	It was not used, however, for this purpose in the beginning, but for their honor, and to admonish them to love their subjects as they would their children, while the subjects were to respect them as they respect their fathers. #onelove
313	one love	He helped his friend organize the monarchy like one who was really in love with the idea of supreme power and he won over the populace by his kindness, showing himself most truly a friend of the people. #onelove
314	one love	A man can be forced to fear another but he has to be persuaded to love him and he is to be persuaded by the good treatment he himself receives and the benefits he sees conferred on others. #onelove
315	one love	The sword can not effect everything for you; it would be a great blessing if it could bring some men to their senses and
315	one love	persuade them or even compel them to love any one with genuine affection but, instead, it will destroy the body of one man and alienate the minds of the rest. #onelove
316	one love	It was for this cause most of all that that first and greatest god who fashioned us divided the race of mortals in twain,
316	one love	rendering one half of it male and the other female, and added love and the compulsion of their intercourse together, making their association fruitful, that by the young continually born he might in a way render mortality eternal. #onelove
317	one love	Therefore, men, for you alone may properly be called men, and fathers, for you are worthy to hold this title like myself, I
317	one love	love you and I praise you for this, I am glad of the prizes I have already offered and I will glorify you still more besides by honors and offices. #onelove
318	one love	The latter, as Tiberius was already seriously ill, was paying his court to the young man, particularly as he had before this succeeded in making him fall in love with his own wife, Ennia Thrasylla. #onelove
319	one love	Since they had no love for him nor any wish that he should survive, they simulated both these feelings to all the greater extent, as if hoping in this way to disguise their real sentiments. #onelove
320	one love	As if it were not enough for her story that she had attracted her uncle Claudius into love for her by her blandishments and uncontrolled looks and kisses, she undertook to enslave Nero also in similar fashion. #onelove
321	one love	I hate a civil war, even though I conquer and I love all Romans, even though they do not side with me. #onelove
322	one love	And you, if you love me in reality, let me die as I desire and do not compel me to live against my will, but take your way to the victor and gain his good graces. #onelove
323	one love	DIO'S ROMAN HISTORYDomitian's cruel character his hatred of his father and brother chapters ,  He puts aside Domitia falls in
323	one love	love with Julia slays the Vestals chapter  The German war chapters ,  Dacian war with Decebalus chapters ,  Domitian's
323	one love	nocturnal spectacles and entertainments chapters ,  Events of the Dacian war chapter  Antonius, governor of Germany, rebels
323	one love	many are slain chapters  How Domitian was killed through snares laid by certain men chaptersDURATION OF TIME.  L. Fl. #onelove
324	one love	He had no genuine affection for any human being save a few women, but he always pretended to love the person whom at any time he was most determined to slay. #onelove
325	one love	Trajan celebrated a triumph and was given the title of Dacicus; in the theatre he had contests of gladiators, in whom he delighted, and he brought back dancers once more to the theatre, being in love with one of them, Pylades. #onelove
326	one love	His position as Caesar and emperor was due to the fact that, when Trajan died without an heir, Attianus, a fellowcitizen and
326	one love	former guardian, together with Plotina, who was in love with him, secured him the appointment, their efforts being facilitated by his proximity and his having a large force under his command. #onelove
327	one love	Hence it is scarcely surprising that when Plotina died, the woman through whom he had secured the imperial office, and who was
327	one love	passionately in love with him, he honored her to the extent of wearing mourning garments for nine days, building a temple to her, and composing several hymns to her memory. #onelove
328	one love	Accordingly, he honored Antinous either because of his love for him or because he had voluntarily submitted to death it being
328	one love	necessary that a life be surrendered voluntarily for the accomplishment of the ends he had in view, by building a city on the
328	one love	spot where he had suffered this fate and naming it after him and he further set up likenesses, or rather sacred statues of him, practically all over the world. #onelove
329	one love	Commodus displayed in Rome itself many marks of wealth and very many more, even, of love for the beautiful. #onelove
330	one love	Indeed, once he did say in a letter "I love the man so much that I pray to die before he does. #onelove
331	one love	Though many decrees in his honor were passed by the senate he accepted only a few of them, saying to the senators "It is through your hearts that you show your love for me, not through your decrees. #onelove
332	one love	Such words, however, were invariably spoken in a fit of anger on this occasion he allowed his love of offspring to get the
332	one love	better of his love of country; yet in doing so he simply betrayed his other child, for he well knew what would happen. #onelove
333	one love	The two pretended to love and commend each other, but their actions proved quite the reverse to be true, and anybody could see that some catastrophe would result from their relations. #onelove
334	one love	But Antoninus was so anxious to appear to love Cilo that he declared "Those who have plotted against him have plotted against me. #onelove
335	one love	Now Antoninus, in spite of his declaration that he cherished an overwhelming love for Alexander, all but destroyed utterly the whole population of Alexander's city. #onelove
336	one love	As for Aurelius Zoticus, a native of Smyrna, whom they also called "Cook" from his father's trade, he incurred the sovereign's thorough love and thorough hatred, and consequently his life was saved. #onelove
337	one love	It suffices me to have you call me'Pious' and 'Fortunate'."  The False Antoninus on receiving praise from the senate oneday remarked "Yes, you love me and, by Jupiter, so does thepopulace and likewise the foreign legions. #onelove
338	one love	So long as Sardanapalus continued to love his cousin, he was safe. #onelove
339	one love	Perchance he even felt some love for her, since she was of surpassing beauty; still it was rather her reputation than her body that he desired to ruin. #onelove
340	one love	As in a random host of persons at variance from divers causes those who have passed from friendship to enmity hate each other
340	one love	with the more intense hatred, so in a random host of persons kindly treated do those who receive this considerate treatment after a state of strife love their benefactors the more. #onelove
341	one love	A man who is distrusted and envied could not love any one sincerely. #onelove
342	one love	Zonaras, ,   The same Marcellus when he perceived that one of the Lucanian cavalrymen was in love with a woman permitted him
342	one love	to keep her in the camp, because he was a most excellent fighter this in spite of the fact that he had forbidden any women to enter the ramparts. #onelove
343	one love	He had taken among the captives a maiden distinguished for her beauty and it was supposed, on general principles, that he
343	one love	would fall in love with her and when he learned that she was betrothed to Allucius, one of the Celtiberian magistrates, he voluntarily sent for him and delivered the girl to him along with the ransom her kinsfolk had brought. #onelove
344	John Tamihere	Compare John of Antioch, frag. #JohnTamihere
345	John Tamihere	III. Of Dio or rather of Eutropius, or John of Antioch. #JohnTamihere
346	John Tamihere	What is said of Romulus in John of Antioch, Frag. #JohnTamihere
347	John Tamihere	Scholia on John Tzetzes's Letters in Cramer's Anecd. #JohnTamihere
348	John Tamihere	Zonaras , The account of John of Antioch, frag. #JohnTamihere
349	John Tamihere	John Tzetzes, Letters, , p. #JohnTamihere
350	John Tamihere	and also Excerpts from a Florentine MS. of John of Antioch's Parallela. #JohnTamihere
351	resident evil 2	Meantime all those who were resident aliens in Rome, except those who dwelt in what is now Italy, were banished on the motion
351	resident evil 2	of one Gaius Papius, a tribune, because they were getting to be in the majority and were not thought fit persons to dwell among the citizens. #residentevil2
352	resident evil 2	This arrangement held for a certain time, but later it was determined that a man once enrolled in the senate should be a
352	resident evil 2	senator for life and that his name should not be erased, unless one had been disgraced by being tried for the commission of a
352	resident evil 2	crime or was convicted of leading an evil life the names of such persons were erased and others inscribed in their stead. #residentevil2
353	resident evil 2	So the Romans on beholding the eclipse looked for no evil to come from it, but it made an impression of terror upon the Macedonians and they thought that the prodigy had a bearing on the cause of Perseus. #residentevil2
354	resident evil 2	Now when the comitiae had been announced in advance and accordingly no law could be enacted till they were held, the canvassers kept doing much evil in this intervening time, to such an extent that assassinations occurred. #residentevil2
355	resident evil 2	Afranius, returning through Mesopotamia to Syria, contrary to the agreement made with the Parthian, wandered from the way and endured much evil by reason of the winter and lack of supplies. #residentevil2
356	resident evil 2	Everything that he had gained at that epoch, although a vast sum, he had consumed by evil practices, and was eager for other similar exploits. #residentevil2
357	resident evil 2	Afranius, returning through Mesopotamia to Syria, contrary to the agreement made with the Parthian,wandered from the way and endured much evil by reason of the winter and lack of supplies. #residentevil2
358	resident evil 2	Caesar brought no charge against him, understanding well that on account of his connections he would not be convicted, but
358	resident evil 2	divorced his wife, telling her that he did not really believe the story but that he could no longer live with her inasmuch as
358	resident evil 2	she had been suspected of committing adultery at all a chaste woman must not only not err, but not even incur any evil suspicion. #residentevil2
359	resident evil 2	For Vettius, being informed against and arrested before he had acted, denounced them; and had he not charged Bibulus also with being in the plot against the two, they would have certainly met some evil fate. #residentevil2
360	resident evil 2	Let us look to this, therefore, to discover what spiritual blessing has abandoned you and what evil has come upon you that you cannot shake off. #residentevil2
361	resident evil 2	At the end of this speech of his Cicero rejoined "There seems to you, then, to be no great evil in dishonor and exile and not
361	resident evil 2	living at home nor being with your friends, but instead being expelled with violence from your country, existing in a foreign
361	resident evil 2	land, and wandering about with the name of exile, causing laughter to your enemies and disgrace to your connections. #residentevil2
362	resident evil 2	Those things which you mentioned, cases of dishonor among them, and everything else of the sort are disgraceful and evil only through law and a kind of notion, and work no injury to either body or soul. #residentevil2
363	resident evil 2	Living abroad is somehow in a way dishonorable, so that if dishonor pure and simple contains no evil, surely an evil reputation can not be attached to exile either. #residentevil2
364	resident evil 2	Is it not assuredly a dreadful, a disgraceful thing to have one's head cut off and set up in the Forum, if it so happen, for
364	resident evil 2	any one, man or woman, to insult? Do not hate me as one foreboding evil to you I but give you warning; be on your guard. #residentevil2
365	resident evil 2	And what are they? To honor and reward the good and faithful, but to dishonor and punish the evil and unfaithful. #residentevil2
366	resident evil 2	Gabinius could, indeed, have stopped the evil in its beginning he had arrested Archelaus, of whom he had been suspicious all along, and seemed likely, therefore, to have no further trouble. #residentevil2
367	resident evil 2	The remaining houses, too because the evil lasted for many days, became rotten and injured some persons at once and others afterward. #residentevil2
368	resident evil 2	Though I understood clearly before this that they were that sort of persons, for there is none of your interests that I fail
368	resident evil 2	to notice, still I pretended not to know it, thinking that they might become better if they believed they were not observed in
368	resident evil 2	some of their evil deeds and had the fear that if they ever presumed too far they might be punished for the guilt of which they were conscious. #residentevil2
369	resident evil 2	Dolabella in despair of obtaining any pardon from Caesar desired to accomplish some great evil and then perish, with the idea that he would forever have renown for this act. #residentevil2
370	resident evil 2	Those who were overbold and able to cause some great evil he took away from Italy in order that they might not raise an
370	resident evil 2	insurrection by being left behind there; and in Africa he was glad to employ different men on different pretexts, for while he was making away with his opponents through their work, he at the same time got rid of them. #residentevil2
371	resident evil 2	Thus the portion of the citizens that is not concerned is brought into the dispute and one class takes the evil up against
371	resident evil 2	another, through pretence of avenging the side which is for the moment at a disadvantage, as if they were repelling a regular,
371	resident evil 2	everyday danger; and individually they free themselves from it, but they ruin the community in every way. #residentevil2
372	resident evil 2	In brief, they regard everything, in the light of their former hostility, as done on purpose and for an evil end. #residentevil2
373	resident evil 2	He might perchance have obtained pardon for the errors which he committed at first, but now by his perseverance in evil he has
373	resident evil 2	reached such a pitch of knavery that he ought to be brought to book for his former offences as well. #residentevil2
374	resident evil 2	Shall we wait for him to secure the prize and still more, and so become a dangerous foe? Shall we trust his deception when he
374	resident evil 2	says that he is not warring against the City?Who is so silly as to decide whether a man is making war on us or not by his
374	resident evil 2	words rather than by his deeds? I do not say that now for the first time is he unfriendly to us, when he has abandoned the
374	resident evil 2	City and made a campaign against allies and is assailing Brutus and besieging the cities; but on the basis of his former evil
374	resident evil 2	and licentious behavior, not only after Caesar's death but even in the latter's lifetime, I decide that he has shown himself an enemy of our government and liberty and a plotter against them. #residentevil2
375	resident evil 2	Such men all suspect and hate as being likely to venture some deed of evil through desperation. #residentevil2
376	resident evil 2	The man had also attacked Cassius, but had suffered no evil in that case, either. #residentevil2
377	resident evil 2	As he could not persuade Fango to give up the country, he associated himself with the natives, who detested their ruler; he
377	resident evil 2	had done evil in his office, for he was one of that mercenary force, many of whose members, as has been stated in my narrative, had been elected even into the senate. #residentevil2
378	resident evil 2	I need not tell you that to live licentiously and to do evil is base and hazardous and hated of both gods and men. #residentevil2
379	resident evil 2	He was declared to be equal to a god and obtained eternal honors, whereas those who slew him perished, the evil men, in evil plight. #residentevil2
380	resident evil 2	As soon as the emperor learned this and felt assured that nothing but evil would come of it, he did not adopt an attitude like
380	resident evil 2	his former one toward them but appointed consul from among the envoys themselves Quintus Lucretius, though this man's name had been posted among the proscribed, and he hastened to Rome himself. #residentevil2
381	resident evil 2	I am not saying that we must spare absolutely all wrongdoers, for we must cut out of the way the daredevil and busybody, the
381	resident evil 2	man of evil nature and evil devices, who gives himself up to an unyielding, persistent baseness, just as we treat parts of the body that are quite incurable. #residentevil2
382	resident evil 2	Human nature is so constituted that in good fortune it does not perceive its prosperity so fully as it misses it when evil days arrive. #residentevil2
383	resident evil 2	The man was aware of the evil character of Gaius and desired to depart before he should taste of it, saying "I can not in my old age become the slave of a new master like him. #residentevil2
384	resident evil 2	Any number of beatings and insults took place in this connection and the evil spread to the theatres, so that those who worked as dancers and who had charge of the horses paid no attention either to praetors or to consuls. #residentevil2
385	resident evil 2	It was not possible to get anywhere, nor yet to stand still; but people pushed and were pushed back, they upset others and
